kind,currency,curve_code,bbg_ticker,internal_alias,maturity_years,tenor,source_file,file_mtime_utc
IRS,AUD,AUD-BBSW-3M,BBSW 3M INDEX,IRS_PAR_AUQ_SPOT_3M,0.25,3M,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWFQ BGN Curncy,IRS_PAR_AUQ_SPOT_6M,0.5,6M,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWIQ BGN Curncy,IRS_PAR_AUQ_SPOT_9M,0.75,9M,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP1Q BGN Curncy,IRS_PAR_AUQ_SPOT_1Y,1,1Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSW1FQ BGN Curncy,IRS_PAR_AUQ_SPOT_18M,1.5,18M,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP2Q BGN Curncy,IRS_PAR_AUQ_SPOT_2Y,2,2Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP3Q BGN Curncy,IRS_PAR_AUQ_SPOT_3Y,3,3Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP4Q BGN Curncy,IRS_PAR_AUQ_SPOT_4Y,4,4Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP5Q BGN Curncy,IRS_PAR_AUQ_SPOT_5Y,5,5Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP6Q BGN Curncy,IRS_PAR_AUQ_SPOT_6Y,6,6Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP7Q BGN Curncy,IRS_PAR_AUQ_SPOT_7Y,7,7Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP10Q BGN Curncy,IRS_PAR_AUQ_SPOT_10Y,10,10Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP12Q BGN Curncy,IRS_PAR_AUQ_SPOT_12Y,12,12Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP15Q BGN Curncy,IRS_PAR_AUQ_SPOT_15Y,15,15Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP20Q BGN Curncy,IRS_PAR_AUQ_SPOT_20Y,20,20Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP25Q BGN Curncy,IRS_PAR_AUQ_SPOT_25Y,25,25Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-3M,ADSWAP30Q BGN Curncy,IRS_PAR_AUQ_SPOT_30Y,30,30Y,IRS/AUD-BBSW-3M/PAR/IRS_PAR_AUD-BBSW-3M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-6M,SD0302P 6M BLC3 Curncy,IRS_PAR_AUQ_SPOT_6M,0.5,6M,IRS/AUD-BBSW-6M/PAR/IRS_PAR_AUD-BBSW-6M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-6M,SD0302P 9m BLC3 Curncy,IRS_PAR_AUQ_SPOT_9M,0.75,9M,IRS/AUD-BBSW-6M/PAR/IRS_PAR_AUD-BBSW-6M.csv,2026-06-02T15:20:11+00:00
IRS,AUD,AUD-BBSW-6M,SD0302P 1Y BLC3 Curncy,IRS_PAR_AUQ_SPOT_1Y,1,1Y,IRS/AUD-BBSW-6M/PAR/IRS_PAR_AUD-BBSW-6M.csv,2026-06-02T15:20:11+00:00
