ticker,user,fields,schedule,enabled,owner,currency,country,issuer_class,curve_code,tenor,quote_type,notes
CTAUDII5Y Govt,shared_term,PX_LAST,daily,true,AD,AUD,AUS,SOVEREIGN,AUD_ACGBI_REAL_GENERIC,5Y,YIELD,
CTAUDII10Y Govt,shared_term,PX_LAST,daily,true,AD,AUD,AUS,SOVEREIGN,AUD_ACGBI_REAL_GENERIC,10Y,YIELD,
CTAUDII15Y Govt,shared_term,PX_LAST,daily,true,AD,AUD,AUS,SOVEREIGN,AUD_ACGBI_REAL_GENERIC,15Y,YIELD,
CTAUDII20Y Govt,shared_term,PX_LAST,daily,true,AD,AUD,AUS,SOVEREIGN,AUD_ACGBI_REAL_GENERIC,20Y,YIELD,
GCDB1YR INDEX,shared_term,PX_LAST,daily,true,AD,CNY,CHN,AGENCY,CNY_CDB_NOMINAL_GENERIC,1Y,YIELD,
GCDB5YR INDEX,shared_term,PX_LAST,daily,true,AD,CNY,CHN,AGENCY,CNY_CDB_NOMINAL_GENERIC,5Y,YIELD,
GCDB10YR INDEX,shared_term,PX_LAST,daily,true,AD,CNY,CHN,AGENCY,CNY_CDB_NOMINAL_GENERIC,10Y,YIELD,
GIDN1YR INDEX,shared_term,PX_LAST,daily,true,AD,IDR,IDN,SOVEREIGN,IDR_IDGB_NOMINAL_GENERIC,1Y,YIELD,
GIDN3YR INDEX,shared_term,PX_LAST,daily,true,AD,IDR,IDN,SOVEREIGN,IDR_IDGB_NOMINAL_GENERIC,3Y,YIELD,
GIDN5YR INDEX,shared_term,PX_LAST,daily,true,AD,IDR,IDN,SOVEREIGN,IDR_IDGB_NOMINAL_GENERIC,5Y,YIELD,
GIDN7YR INDEX,shared_term,PX_LAST,daily,true,AD,IDR,IDN,SOVEREIGN,IDR_IDGB_NOMINAL_GENERIC,7Y,YIELD,
GIDN10YR INDEX,shared_term,PX_LAST,daily,true,AD,IDR,IDN,SOVEREIGN,IDR_IDGB_NOMINAL_GENERIC,10Y,YIELD,
GIDN20YR INDEX,shared_term,PX_LAST,daily,true,AD,IDR,IDN,SOVEREIGN,IDR_IDGB_NOMINAL_GENERIC,20Y,YIELD,
GIDN30YR Index,shared_term,PX_LAST,daily,true,AD,IDR,IDN,SOVEREIGN,IDR_IDGB_NOMINAL_GENERIC,30Y,YIELD,
GTJPY1Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,1Y,YIELD,
GTJPY2Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,2Y,YIELD,
GTJPY3Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,3Y,YIELD,
GTJPY4Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,4Y,YIELD,
GTJPY5Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,5Y,YIELD,
GTJPY6Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,6Y,YIELD,
GTJPY7Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,7Y,YIELD,
GTJPY10Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,10Y,YIELD,
GTJPY15Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,15Y,YIELD,
GTJPY20Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,20Y,YIELD,
GTJPY30Y govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGB_NOMINAL_GENERIC,30Y,YIELD,
GTJPYII5YR  govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGBI_REAL_GENERIC,5Y,YIELD,
GTJPYII6YR  govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGBI_REAL_GENERIC,6Y,YIELD,
GTJPYII7YR  govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGBI_REAL_GENERIC,7Y,YIELD,
GTJPYII8YR  govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGBI_REAL_GENERIC,8Y,YIELD,
GTJPYII9YR  govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGBI_REAL_GENERIC,9Y,YIELD,
GTJPYII10YR  govt,shared_term,PX_LAST,daily,true,AD,JPY,JPN,SOVEREIGN,JPY_JGBI_REAL_GENERIC,10Y,YIELD,
GVSK3MON Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,3M,YIELD,
GVSK6MON Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,6M,YIELD,
GVSK1YR Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,1Y,YIELD,
GVSK2YR Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,2Y,YIELD,
GVSK3YR Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,3Y,YIELD,
GVSK5YR Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,5Y,YIELD,
GVSK10YR Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,10Y,YIELD,
GVSK20YR Index,shared_term,PX_LAST,daily,true,AD,KRW,KOR,SOVEREIGN,KRW_KTB_NOMINAL_OTR,20Y,YIELD,
MAGY3YR INDEX,shared_term,PX_LAST,daily,true,AD,MYR,MYS,SOVEREIGN,MYR_MGS_NOMINAL_GENERIC,3Y,YIELD,
MAGY5YR INDEX,shared_term,PX_LAST,daily,true,AD,MYR,MYS,SOVEREIGN,MYR_MGS_NOMINAL_GENERIC,5Y,YIELD,
MAGY7YR INDEX,shared_term,PX_LAST,daily,true,AD,MYR,MYS,SOVEREIGN,MYR_MGS_NOMINAL_GENERIC,7Y,YIELD,
MAGY10YR INDEX,shared_term,PX_LAST,daily,true,AD,MYR,MYS,SOVEREIGN,MYR_MGS_NOMINAL_GENERIC,10Y,YIELD,
MAGY20YR INDEX,shared_term,PX_LAST,daily,true,AD,MYR,MYS,SOVEREIGN,MYR_MGS_NOMINAL_GENERIC,20Y,YIELD,
USGG1M Index,shared_term,PX_LAST,daily,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,4W,YIELD,
USGG6M Index,shared_term,PX_LAST,daily,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,6M,YIELD,
USGG12M Index,shared_term,PX_LAST,daily,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,1Y,YIELD,
USGG2YR Index,shared_term,PX_LAST,hourly,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,2Y,YIELD,2y UST benchmark yield
USGG3YR Index,shared_term,PX_LAST,daily,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,3Y,YIELD,
USGG5YR Index,shared_term,PX_LAST,hourly,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,5Y,YIELD,5y UST benchmark yield
USGG7YR Index,shared_term,PX_LAST,daily,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,7Y,YIELD,
USGG10YR Index,shared_term,PX_LAST,hourly,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,10Y,YIELD,10y UST benchmark yield
USGG20YR Index,shared_term,PX_LAST,daily,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,20Y,YIELD,
USGG30YR Index,shared_term,PX_LAST,hourly,true,AD,USD,USA,SOVEREIGN,USD_UST_NOMINAL_CMT,30Y,YIELD,30y UST benchmark yield
GUKG10 INDEX,shared_term,PX_LAST,daily,true,AD,GBP,GBR,SOVEREIGN,GBP_GILT_NOMINAL_CMT,10Y,YIELD,10y Gilt nominal yield
