ticker,user,fields,schedule,enabled,owner,ccy,country,tenor,notes
AUD curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,SPOT,
AUD1W curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,1W,
AUD1M curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,4W,
AUD3m curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,3M,
AUD6m curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,6M,
AUD9m curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,9M,
AUD12m curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,1Y,
AUD2Y curncy,shared_term,PX_LAST,daily,true,AD,AUD,AUS,2Y,
CAD Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,SPOT,
CAD1W Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,1W,
CAD2W Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,2W,
CAD3W Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,3W,
CAD1M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,4W,
CAD2M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,2M,
CAD3M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,3M,
CAD4M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,4M,
CAD5M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,5M,
CAD6M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,6M,
CAD9M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,9M,
CAD12M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,1Y,
CAD18M Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,18M,
CAD2Y Curncy,shared_term,PX_LAST,daily,true,AD,CAD,CAN,2Y,
CHF curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,SPOT,
CHF1W curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,1W,
CHF1M curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,4W,
CHF3m curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,3M,
CHF6m curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,6M,
CHF9m curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,9M,
CHF12m curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,1Y,
CHF2Y curncy,shared_term,PX_LAST,daily,true,AD,CHF,CHE,2Y,
CNH curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,SPOT,
CNH+1W curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,1W,
CNH+1M curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,4W,
CNH+3m curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,3M,
CNH+6m curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,6M,
CNH+9m curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,9M,
CNH+12m curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,1Y,
CNH+2Y curncy,shared_term,PX_LAST,daily,true,AD,CNH,CHN,2Y,
EUR curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,SPOT,
EUR1W curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,1W,
EUR1M curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,4W,
EUR3m curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,3M,
EUR6m curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,6M,
EUR9m curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,9M,
EUR12m curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,1Y,
EUR2Y curncy,shared_term,PX_LAST,daily,true,AD,EUR,EUR,2Y,
