ticker,user,fields,schedule,enabled,owner,currency,kind,curve_code,tenor,notes
BBSW 3M INDEX,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,3M,
ADSWFQ BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,6M,
ADSWIQ BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,9M,
ADSWAP1Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,1Y,
ADSW1FQ BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,18M,
ADSWAP2Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,2Y,
ADSWAP3Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,3Y,
ADSWAP4Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,4Y,
ADSWAP5Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,5Y,
ADSWAP6Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,6Y,
ADSWAP7Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,7Y,
ADSWAP10Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,10Y,
ADSWAP12Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,12Y,
ADSWAP15Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,15Y,
ADSWAP20Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,20Y,
ADSWAP25Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,25Y,
ADSWAP30Q BGN Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-3M,30Y,
SD0302P 6M BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,6M,
SD0302P 9m BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,9M,
SD0302P 1Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,1Y,
SD0302P 15m BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,15M,
SD0302P 18m BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,18M,
SD0302P 2Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,2Y,
SD0302P 3Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,3Y,
SD0302P 4Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,4Y,
SD0302P 5Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,5Y,
SD0302P 6Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,6Y,
SD0302P 7Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,7Y,
SD0302P 8Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,8Y,
SD0302P 9Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,9Y,
SD0302P 10Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,10Y,
SD0302P 12Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,12Y,
SD0302P 15Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,15Y,
SD0302P 20Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,20Y,
SD0302P 25Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,25Y,
SD0302P 30Y BLC3 Curncy,shared_term,PX_LAST,daily,true,AD,AUD,IRS,AUD-BBSW-6M,30Y,
CNRR007 Index,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,1W,
CCSWOA CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,4W,
CCSWOC CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,3M,
CCSWOF CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,6M,
CCSWOI CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,9M,
CCSWO1 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,1Y,
CCSWO2 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,2Y,
CCSWO3 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,3Y,
CCSWO4 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,4Y,
CCSWO5 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,5Y,
CCSWO7 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,7Y,
CCSWO10 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNO,IRS,CNO-REPO-7D,10Y,
CCSWNIA CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,4W,
CCSWNIC CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,3M,
CCSWNIF CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,6M,
CCSWNII CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,9M,
CCSWNI1 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,1Y,
CCSWNI2 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,2Y,
CCSWNI3 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,3Y,
CCSWNI4 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,4Y,
CCSWNI5 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,5Y,
CCSWNI6 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,6Y,
CCSWNI7 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,7Y,
CCSWNI10 CMPN CURNCY,shared_term,PX_LAST,daily,true,AD,CNY,IRS,CNY-REPO-7D,10Y,
EUR003M Index,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,3M,
EUSWFV3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,6M,
EUSW1V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,1Y,
EUSW2V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,2Y,
EUSW3V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,3Y,
EUSW4V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,4Y,
EUSW5V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,5Y,
EUSW6V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,6Y,
EUSW7V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,7Y,
EUSW8V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,8Y,
EUSW9V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,9Y,
EUSW10V3 CMPN Curncy,shared_term,PX_LAST,daily,true,AD,EUR,IRS,EUR-EURIBOR-3M,10Y,
