ticker,user,schedule,enabled,owner,domain,kind,currency,country,curve_code,tenor,quote_type,source_file
BBSW 3M INDEX,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,3M,YIELD,tickers/rates.csv
ADSWFQ BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,6M,YIELD,tickers/rates.csv
ADSWIQ BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,9M,YIELD,tickers/rates.csv
ADSWAP1Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,1Y,YIELD,tickers/rates.csv
ADSW1FQ BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,18M,YIELD,tickers/rates.csv
ADSWAP2Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,2Y,YIELD,tickers/rates.csv
ADSWAP3Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,3Y,YIELD,tickers/rates.csv
ADSWAP4Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,4Y,YIELD,tickers/rates.csv
ADSWAP5Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,5Y,YIELD,tickers/rates.csv
ADSWAP6Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,6Y,YIELD,tickers/rates.csv
ADSWAP7Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,7Y,YIELD,tickers/rates.csv
ADSWAP10Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,10Y,YIELD,tickers/rates.csv
ADSWAP12Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,12Y,YIELD,tickers/rates.csv
ADSWAP15Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,15Y,YIELD,tickers/rates.csv
ADSWAP20Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,20Y,YIELD,tickers/rates.csv
ADSWAP25Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,25Y,YIELD,tickers/rates.csv
ADSWAP30Q BGN Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-3M,30Y,YIELD,tickers/rates.csv
SD0302P 6M BLC3 Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-6M,6M,YIELD,tickers/rates.csv
SD0302P 9m BLC3 Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-6M,9M,YIELD,tickers/rates.csv
SD0302P 1Y BLC3 Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-6M,1Y,YIELD,tickers/rates.csv
SD0302P 15m BLC3 Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-6M,15M,YIELD,tickers/rates.csv
SD0302P 18m BLC3 Curncy,shared_term,daily,true,AD,rates,IRS,AUD,,AUD-BBSW-6M,18M,YIELD,tickers/rates.csv
